순번,구,가맹점,주소,동
33232,서구,시골마당,"대전광역시 서구 정림로66번길 28, 1층 (정림동)",정림동
12122,서구,시골막국수,"대전광역시 서구 구봉산북로7번길 32-14, 1층 (관저동)",관저동
20825,유성구,시골밥상,"대전광역시 유성구 노은동로79번길 34, 1층 (노은동)",노은동
36670,중구,시골밥상,"대전광역시 중구 대종로505번길 28, 104호 (선화동)",선화동
33989,유성구,시골밥상 ,"대전광역시 유성구 복용동로 35, 1층 115호 (복용동,디오토몰)",복용동
20395,서구,시골밥상이레,"대전광역시 서구 대신1길 48, 1층 (도마동)",도마동
22775,중구,시골방앗간,"대전광역시 중구 보문로30번길 8, 외2필지 1층 (문창동)",문창동
27130,서구,시골생막창,대전광역시 서구 만년로16번길 27 (만년동),만년동
10124,유성구,시골손두부의하루,"대전광역시 유성구 장대로74번길 17, 1층 101호 (장대동)",장대동
10550,대덕구,시골손칼국수,대전광역시 대덕구 송촌남로 53-1 (송촌동),송촌동
7471,유성구,시골순대,"대전광역시 유성구 진잠로70번길 47, 1층 (원내동)",원내동
27000,중구,시골순대국밥,"대전광역시 중구 대종로 551, 1층 (선화동)",선화동
30554,동구,시골쌈밥,대전광역시 동구 대전로448번길 85-8 (가오동),가오동
26488,동구,시골야채,대전광역시 동구 대전로 768 (원동),원동
19445,중구,시골양반촌,"대전광역시 중구 태평로 169-1, 1층 (태평동,유등빌딩)",태평동
17441,대덕구,시골우리방앗간,대전광역시 대덕구 중리북로37번길 17 (중리동),중리동
16183,대덕구,시골장터국밥,"대전광역시 대덕구 석봉로44번안길 1, 1층 (석봉동)",석봉동
24253,동구,시골집,"대전광역시 동구 새울로109번길 31,(용운동)",용운동
22903,중구,시골집,대전광역시 중구 보문로 43-1 (문창동),문창동
2939,서구,시골집 닭도리탕,"대전광역시 서구 신갈마로 110-13, 1층 (갈마동)",갈마동
29049,서구,시골집추어탕,대전광역시 서구 도림4길 36 (도마동),도마동
14958,중구,시골집흑염소,"대전광역시 중구 계백로1571번길 31, 1층 (유천동)",유천동
3856,대덕구,시골참순대,대전광역시 대덕구 비래동로 30 (비래동),비래동
24060,서구,시골참순대,"대전광역시 서구 관저중로80번길 47, 1층 (관저동)",관저동
4156,중구,시골칼국수,"대전광역시 중구 모암로 10, 1층 (호동)",호동
13342,동구,시골통닭,대전광역시 동구 동서대로1695번길 76 (용전동),용전동
18578,서구,시골하우스,"대전광역시 서구 계백로1286번길 11, 1층 (정림동)",정림동
18675,중구,시골해장국,"대전광역시 중구 유천로47번길 115, 1층 (유천동)",유천동
11582,중구,시골향감자탕,"대전광역시 중구 선화로 129,1층(선화동)",선화동
30605,서구,시그니아보청기,"대전광역시 서구 계룡로 637, 3층 (탄방동)",탄방동
9853,중구,시그니처,"대전광역시 중구 중앙로 지하 145, 나동 32호 (은행동,중앙로 1번가B)",은행동
12606,서구,시그니처 수학공부방,"대전광역시 서구 관저로 84, 807동 102호 (관저동,구봉마을)",관저동
7470,서구,시그니처영어,"대전광역시 서구 관저로 84, 808동 403호 (관저동,구봉마을)",관저동
38073,대덕구,시그마수학교습소,"대전광역시 대덕구 동춘당로94번길 11-21, 501호 (송촌동,송촌은혜프라자)",송촌동
3571,유성구,시글락,"대전광역시 유성구 원신흥남로41번길 37-8, 1층 (원신흥동)",원신흥동
1661,유성구,시금자 쌀롱,"대전광역시 유성구 온천로 26, 1층 112호 (봉명동,리베라 아이누리2차)",봉명동
11470,유성구,시금치,"대전광역시 유성구 계룡로 84, 1층 112호 (봉명동,레자미3차)",봉명동
3645,대덕구,시나브로,"대전광역시 대덕구 한남로12번길 47, 지하1층 (오정동)",오정동
885,유성구,시나브로,대전광역시 유성구 온천북로59번길 9 (봉명동),봉명동
13742,유성구,시나브로수학원,"대전광역시 유성구 월드컵대로 300, 3층 (상대동)",상대동
7865,동구,시나브르,"대전광역시 동구 대전로448번길 85-29, 1층 (가오동)",가오동
37102,유성구,시나피샌드위치 대전유성점,"대전광역시 유성구 은구비서로24번길 50, 1층 (지족동)",지족동
33209,유성구,시너지 필라테스&요가,"대전광역시 유성구 반석로 13, 401, 402, 403호 (반석동)",반석동
33210,유성구,시너지 필라테스&요가,"대전광역시 유성구 노은로 154, 4층 401,406,407호 (지족동,노은프라자)",지족동
9939,동구,시네마 모텔,대전광역시 동구 동서대로1725번길 18 (용전동),용전동
38527,서구,시느리수제화,"대전광역시 서구 구봉로 455-5, 202호 (정림동,드림빌)",정림동
258,서구,시다모,"대전광역시 서구 유등로43번길 67, 1층 (복수동,광원빌딩)",복수동
29029,중구,시대광고사,대전광역시 중구 대종로 671-1 (중촌동),중촌동
25595,중구,시대샤쓰,대전광역시 중구 선화동 383 중앙로 지하상가 B 가 55,선화동
4456,동구,시대카텐,대전광역시 동구 원동 60,원동
16584,동구,시대패션,"대전광역시 동구 중동 역전지하상가 가열60,61호",중동
32920,유성구,시드니 양복점,"대전광역시 유성구 계룡로74번길 20, 102호 (봉명동,리베라아이누리)",봉명동
34699,동구,시드오브라이프요가원(seed of life yoga),대전광역시 동구 계족로 476 (용전동),용전동
