,index,순번,구,가맹점,주소,동,경도,위도
5167,35942,1925,동구,한신상회,대전광역시 동구 대전로791번길 19 ,중동,127.432111270939,36.3298202362399
5168,35946,38893,동구,한신전기에너지,대전광역시 동구 우암로255번길 28,가양동,127.443828786603,36.3460507117668
5169,35947,31070,동구,한신콤프렛서 ,대전광역시 동구 대전로 982 ,삼성동,127.421696561627,36.3440147236593
5170,35953,2711,동구,한씨네비디오,대전광역시 동구 삼성동 150-25번지,삼성동,127.433668265708,36.3393424558189
5171,35962,17056,동구,한아름슈퍼,대전광역시 동구 용운로 37 ,대동,127.447100957029,36.3278459595953
5172,35963,18168,동구,한아름식당,대전광역시 동구 삼성동 307-9,삼성동,127.426382512213,36.3395874769494
5173,35965,17875,동구,한아름주단,대전광역시 동구 중앙로200번길 40 ,원동,127.432006142463,36.3292367440967
5174,35974,653,동구,한양 떡방,대전광역시 동구 흥룡로37번길 27 ,가양동,127.446309788116,36.3495385639237
5175,35982,23131,동구,한양뚝배기,대전광역시 동구 동서대로 1629-19 ,홍도동,127.43070605496,36.3477024579986
5176,35997,10413,동구,한양카인테리어,대전광역시 동구 계족로464번길 16 ,용전동,127.433577567332,36.352980518572
5177,35999,26412,동구,한얼심리치료연구소,대전광역시 동구 대청호수로296번길 119 ,주산동,127.481476092614,36.3522771434319
5178,36013,5666,동구,한우 내장탕,대전광역시 동구 은어송로 42-52,가오동,127.454691380995,36.3049009219259
5179,36017,36753,동구,한우농장30년,대전광역시 동구 동부로 13,판암동,127.456048288873,36.3182694180623
5180,36018,36752,동구,한우농장30년정육점,대전광역시 동구 동부로 13,판암동,127.456048288873,36.3182694180623
5181,36031,24154,동구,한우리약국,대전광역시 동구 동서대로 1689,용전동,127.436693888994,36.350315576746
5182,36032,13752,동구,한우리정육센타,대전광역시 동구 계족로490번길 19,용전동,127.434048712015,36.3554897452697
5183,36035,10363,동구,한우리축산,대전광역시 동구 산내로 1349 ,낭월동,127.466145010104,36.2835903970521
5184,36036,25520,동구,한우리해장국,대전광역시 동구 동부로 6 ,판암동,36.3170941,127.4563893
5185,36040,23895,동구,한우반값정육점,대전광역시 동구 대전로 443 ,가오동,127.452396909159,36.3054971050513
5186,36049,35864,동구,한울기획,대전광역시 동구 대전로867번길 42,삼성동,127.428092331718,36.3357633551718
5187,36063,16263,동구,한은수음악학원,대전광역시 동구 우암로 244,가양동,127.44355998626,36.3441849286584
5188,36072,21990,동구,"한일관광호텔사우나,  쉼터",대전광역시 동구 용운로 169,용운동,127.461203752613,36.3280693051703
5189,36073,17866,동구,한일기물,대전광역시 동구 새울로91번길 14-21 ,용운동,127.460709006712,36.3274581434568
5190,36075,34681,동구,한일미곡상회,대전광역시 동구 대전로 695-9,인동,127.436986184418,36.3219743506383
5191,36076,17533,동구,한일미용실,대전광역시 동구 용운로 117 ,용운동,127.455301991443,36.3281325753566
5192,36077,4770,동구,한일사,대전광역시 동구 중앙로200번길 73,원동,127.433361517998,36.3277821149337
5193,36079,34675,동구,한일상회,대전광역시 동구 충무로 185 ,인동,127.436652059271,36.3217881267744
5194,36083,20691,동구,한일식품,대전광역시 동구 새둑길 118 ,소제동,36.3338867,127.4372484
5195,36084,24865,동구,한일약국,대전광역시 동구 우암로147번길 3 ,삼성동,127.434121884828,36.3399935297901
5196,36088,9742,동구,한일의료기전기매트,대전광역시 동구 동서대로1704번길 47,가양동,127.439194817164,36.3468511325579
5197,36091,18780,동구,한일중고사무용가구,대전광역시 동구 동서대로 1506 ,삼성동,127.420961343535,36.3401620896788
5198,36094,37904,동구,한일커튼,대전광역시 동구 중교로 126 ,원동,127.432961968847,36.3284152876702
5199,36096,11769,동구,한일펌프,대전광역시 동구 대흥로 204,인동,127.434281996816,36.3260554538495
5200,36102,35206,동구,한잔더소주호프,대전광역시 동구 옥천로176번길 5,판암동,127.459928343529,36.3166815475058
5201,36116,29498,동구,한지와장식,대전광역시 동구 동대전로248번길 3 ,가양동,127.447424045468,36.3436801954582
5202,36167,27084,동구,함초양념갈비,대전광역시 동구 계족로 508 ,용전동,127.433115868955,36.3570579258056
5203,36171,20079,동구,합기도 대의관,대전광역시 동구 흥룡로 56-3,가양동,127.450002259817,36.3498764435399
5204,36173,11989,동구,합기도 양우관 청룡체육관,대전광역시 동구 은어송로52번길 60,가오동,127.456777700008,36.3033835838366
5205,36179,4450,동구,합기도양우관천동도장,대전광역시 동구 대전로542번길 80-63,천동,127.447070485445,36.316369405053
5206,36188,15727,동구,합동연탄,대전광역시 동구 충정로 67-2 ,가양동,127.455524032476,36.3462420896785
5207,36192,40013,동구,합자회사 세양환경공사,대전광역시 동구 대청호수로 25,비룡동,127.476359350266,36.3350508297803
5208,36198,5667,동구,항아리 보쌈 가오점,대전광역시 동구 은어송로 42-43,가오동,127.455094314511,36.3051116165063
5209,36207,6558,동구,항아리칼국수,대전광역시 동구 계족로 481 ,용전동,127.432438331099,36.3547753671053
5210,36211,26198,동구,해광상회,대전광역시 동구 대전로785번길 48 ,중동,127.430915114118,36.3290719823079
5211,36212,26199,동구,해광수산,대전광역시 동구 대전로785번길 48 ,중동,127.430915114118,36.3290719823079
5212,36214,12477,동구,해나미용실,대전광역시 동구 옥천로176번길 15-4,판암동,127.459997872887,36.3160445981979
5213,36222,21730,동구,해달,대전광역시 동구 동부로73번길 25,용운동,127.460273457102,36.3232954874185
5214,36229,37910,동구,해동건어물,대전광역시 동구 대전로791번길 31,중동,127.431524996838,36.3295978713357
5215,36237,16865,동구,해든마켓,대전광역시 동구 산내로1287번길 6 ,낭월동,127.4685560025,36.278609332011
5216,36250,19327,동구,해뜨는빵집,대전광역시 동구 대동 64-5,대동,36.3332483,127.4481836
5217,36251,22196,동구,해뜨는집,대전광역시 동구 동대전로 173,자양동,127.447622306981,36.3373895277997
5218,36260,37024,동구,해루,대전광역시 동구 석천로 3-20,낭월동,127.465731986715,36.2757096324718
5219,36263,24784,동구,해리애견,대전광역시 동구 옥천로176번길 5 ,판암동,127.459928343529,36.3166815475058
5220,36275,15245,동구,해물과만두이야기,대전광역시 동구 선화로196번길 80,중동,127.429790364906,36.3308373812885
5221,36278,13651,동구,해물애짬뽕,대전광역시 동구 물류로13번길 74,구도동,127.469555286833,36.2728333351602
5222,36294,34995,동구,해바라기식당,대전광역시 동구 계족로 203 ,신안동,127.440593412689,36.3311468010603
5223,36300,10166,동구,해법가양교실 중국어교습소,대전광역시 동구 충정로 102 ,가양동,127.45229426843,36.344678205524
5224,36315,33062,동구,해법영어대룡교실영어교습소,대전광역시 동구 대학로50번길 53,용운동,127.457069440528,36.3320194478701
5225,36320,27439,동구,해법영어천동플러스학원,대전광역시 동구 대전로542번길 80-87,천동,127.447403400902,36.3164606203479
5226,36331,5664,동구,해성당,대전광역시 동구 대전로 799,중동,127.432541164625,36.3307855532474
5227,36336,16810,동구,해솔헤어샵,대전광역시 동구 백룡로57번길 129,자양동,127.45038320885,36.3388032811539
5228,36343,8177,동구,해오름,대전광역시 동구 옥천로176번길 15-4,판암동,127.459997872887,36.3160445981979
5229,36347,33018,동구,해오름약국,대전광역시 동구 계족로 75,신흥동,127.443989964211,36.3214154047047
5230,36350,8336,동구,해오름한의원,대전광역시 동구 백룡로 7 ,자양동,127.448048546199,36.3362562354274
5231,36351,11268,동구,해오름해물칼국수,대전광역시 동구 송촌남로 15,용전동,127.44132787405,36.3532074475046
5232,36353,3750,동구,해와달,대전광역시 동구 대전로 752-1 ,원동,127.435272300493,36.3270791029658
5233,36355,20541,동구,해와솔식당,대전광역시 동구 대전로 624 ,효동,127.440244476981,36.3163178684872
5234,36361,25517,동구,해원미용실,대전광역시 동구 판암1동 2-234,판암동,36.3172508,127.46937224141104
5235,36365,27627,동구,해인유통,대전광역시 동구 삼성동 302-127번지 물류창고 A-2동,삼성동,127.426660905591,36.341636025444
5236,36366,31272,동구,해인한의원,대전광역시 동구 백룡로5번길 129,자양동,127.450136266158,36.3417264487574
5237,36371,34359,동구,해정해물손칼국수,대전광역시 동구 판암로 25 ,판암동,127.46295051136,36.3179034126374
5238,36373,25508,동구,해주식당,대전광역시 동구 삼성동 289-16번지 세종빌라 101,삼성동,127.42742023592,36.3380238359347
5239,36383,26840,동구,해켓신경외과의원,대전광역시 동구 대전로 822,정동,127.432194896335,36.3327612825429
5240,36390,17103,동구,해풍사,대전광역시 동구 중동 317 역전지하상가 가6호,중동,127.430517139303,36.3304212158619
5241,36396,27629,동구,해피데이,대전광역시 동구 동서대로1748번길 86 ,가양동,127.446948037097,36.3500304716917
5242,36397,8889,동구,해피데이,대전광역시 동구 중앙로 240,소제동,127.435993263371,36.3317082508479
5243,36427,30997,동구,해호,대전광역시 동구 대전로542번길 78,천동,127.446044443222,36.3154865690411
5244,36430,38416,동구,핵폭탄짬뽕,대전광역시 동구 동대전로 256,가양동,127.446992702249,36.3442797383457
5245,36432,8928,동구,핸드 픽 코튼,대전광역시 동구 중동 81-6번지3층301호,중동,127.431671240084,36.3295794098399
5246,36444,1177,동구,햇살 떡집,대전광역시 동구 은어송로 37 ,가오동,127.4539592773,36.3051799154709
5247,36455,18627,동구,햇살한의원,대전광역시 동구 곤룡로 6,낭월동,127.468613227655,36.2798968976516
5248,36470,4603,동구,행복구제,대전광역시 동구 중앙로194번길 16-1,중동,127.431080347064,36.3297715104425
5249,36478,16343,동구,행복나라,대전광역시 동구 새울로 103,용운동,127.461441681622,36.3275093876571
5250,36479,24033,동구,행복나무미술교습소,대전광역시 동구 우암로 192,가양동,127.441166181564,36.3404238179092
5251,36486,17964,동구,행복드림노인전문요양원,대전광역시 동구 태전로 72,삼성동,127.426784634151,36.3362003260088
5252,36489,39991,동구,행복뜰 우리동네,대전광역시 동구 대전로772,원동,127.434591448847,36.3286752210182
5253,36490,13435,동구,행복뜰우리동네,대전광역시 동구 대전로 772,원동,127.434591448847,36.3286752210182
5254,36491,346,동구,행복마트,대전광역시 동구 동부로 56-7,판암동,127.46081779027,36.3210793799278
5255,36498,33425,동구,행복세탁,대전광역시 동구 동서대로1692번길 26-1 ,성남동,127.437839738384,36.3481589316038
5256,36503,2683,동구,행복식당,대전광역시 동구 대전로 645 ,효동,127.439199692222,36.3180748632904
5257,36504,25823,동구,행복식당,대전광역시 동구 옛신탄진로 2,삼성동,127.425922440004,36.3412985562408
5258,36508,12227,동구,행복안경원,대전광역시 동구 동대전로 68 ,대동,127.442161343382,36.3289949505177
5259,36522,20551,동구,행복정육식당,대전광역시 동구 계족로 456 ,용전동,127.432761220072,36.3524046545603
